date,contagious flu
2023-07-09,2.8022038378556013
2023-07-16,2.7077028591024046
2023-07-23,2.5948819066398046
2023-07-30,2.8205238115650046
2023-08-06,2.933344764027605
2023-08-13,2.8205238115650046
2023-08-20,3.3846285738780053
2023-08-27,4.4000171460414075
2023-09-03,4.8513009558918085
2023-09-10,4.287196193578807
2023-09-17,4.6256590509666085
2023-09-24,5.415405718204809
2023-10-01,6.5436152428308105
2023-10-08,6.656436195293411
2023-10-15,6.656436195293411
2023-10-22,7.671824767456813
2023-10-29,7.559003814994212
2023-11-05,9.928243816708816
2023-11-12,12.29748381842342
2023-11-19,15.343649534913625
2023-11-26,17.60006858416563
2023-12-03,16.020575249689227
2023-12-10,20.194950490805436
2023-12-17,30.687299069827255
2023-12-24,61.713060997042305
2023-12-31,49.189935273693685
