date,ear thermometer
2023-07-09,1.0591208791208793
2023-07-16,1.917142857142858
2023-07-23,1.3138461538461539
2023-07-30,2.3729670329670336
2023-08-06,2.39978021978022
2023-08-13,2.94945054945055
2023-08-20,2.6947252747252755
2023-08-27,2.064615384615385
2023-09-03,2.574065934065935
2023-09-10,2.1450549450549454
2023-09-17,3.1371428571428583
2023-09-24,4.732527472527473
2023-10-01,4.021978021978024
2023-10-08,2.8824175824175833
2023-10-15,2.842197802197803
2023-10-22,3.123736263736265
2023-10-29,4.973846153846155
2023-11-05,4.705714285714287
2023-11-12,4.839780219780221
2023-11-19,4.71912087912088
2023-11-26,4.236483516483518
2023-12-03,5.536923076923078
2023-12-10,5.362637362637364
2023-12-17,6.086593406593408
2023-12-24,6.756923076923079
2023-12-31,5.8989010989011
