date,cold and flu
2022-03-06,21.051371807000947
2022-03-13,23.94077578051088
2022-03-20,24.353547776726582
2022-03-27,27.105361084831284
2022-04-03,26.69258908861558
2022-04-10,24.766319772942293
2022-04-17,25.454273099968464
2022-04-24,27.24295175023652
2022-05-01,26.41740775780511
2022-05-08,25.729454430778933
2022-05-15,28.3436770734784
2022-05-22,26.554998423210346
2022-05-29,27.380542415641752
2022-06-05,26.004635761589405
2022-06-12,24.491138442131817
2022-06-19,22.840050457269
2022-06-26,23.528003784295176
2022-07-03,22.840050457269
2022-07-10,26.030340924048968
2022-07-17,24.858975582466766
2022-07-24,23.947913650125052
2022-07-31,23.68761024088456
2022-08-07,22.125789785441622
2022-08-14,21.86548637620113
2022-08-21,21.344879557720155
2022-08-28,26.55094774252995
2022-09-04,27.852464788732394
2022-09-11,27.852464788732394
2022-09-18,29.934892062656314
2022-09-25,32.14747104120048
2022-10-02,30.976105699618273
2022-10-09,34.75050513360537
2022-10-16,37.483690930630516
2022-10-23,40.99778695537713
2022-10-30,47.895827300250104
2022-11-06,52.58128866657892
2022-11-13,51.6702267342372
2022-11-20,62.60296992233777
2022-11-27,73.40556140581809
2022-12-04,72.62465117809661
2022-12-11,68.32964492562854
2022-12-18,72.36434776885612
2022-12-25,73.92616822429908
2023-01-01,76.9196574305647
2023-01-08,52.709706159203115
2023-01-15,36.244201312910285
2023-01-22,36.3288840262582
2023-01-29,38.699999999999996
2023-02-05,37.683807439824946
2023-02-12,37.85317286652079
2023-02-19,35.82078774617067
2023-02-26,37.68380743982494
2023-03-05,31.417286652078776
2023-03-12,30.909190371991247
2023-03-19,30.82450765864333
2023-03-26,29.21553610503282
2023-04-02,27.5218818380744
2023-04-09,26.16695842450766
2023-04-16,23.880525164113784
2023-04-23,22.440919037199127
2023-04-30,23.711159737417944
2023-05-07,22.77964989059081
2023-05-14,22.949015317286655
2023-05-21,22.186870897155362
2023-05-28,22.440919037199127
2023-06-04,19.561706783369804
2023-06-11,18.376148796498907
2023-06-18,15.750984682713348
2023-06-25,15.496936542669586
2023-07-02,13.972647702407002
2023-07-09,16.481025050931866
2023-07-16,15.563793103448276
2023-07-23,14.904310344827584
2023-07-30,15.695689655172414
2023-08-06,17.410344827586208
2023-08-13,20.971551724137928
2023-08-20,24.92844827586207
2023-08-27,27.302586206896553
2023-09-03,30.599999999999998
2023-09-10,32.578448275862065
2023-09-17,35.480172413793106
2023-09-24,38.11810344827586
2023-10-01,36.27155172413793
2023-10-08,34.688793103448276
2023-10-15,35.21637931034483
2023-10-22,39.3051724137931
2023-10-29,37.32672413793103
2023-11-05,42.60258620689655
2023-11-12,44.58103448275862
2023-11-19,49.06551724137931
2023-11-26,49.85689655172414
2023-12-03,55.92413793103448
2023-12-10,50.7801724137931
2023-12-17,62.914655172413795
2023-12-24,77.42327586206896
2023-12-31,81.77586206896551
