date,bronchitis
2023-08-06,27.69101244101244
2023-08-13,28.85558773058773
2023-08-20,29.890765765765764
2023-08-27,29.37317674817675
2023-09-03,32.60810810810811
2023-09-10,34.807861432861436
2023-09-17,38.3015873015873
2023-09-24,42.57169669669669
2023-10-01,46.971203346203346
2023-10-08,48.394573144573144
2023-10-15,50.59432646932647
2023-10-22,54.73503861003861
2023-10-29,55.25262762762763
2023-11-05,58.74635349635349
2023-11-12,65.21621621621622
2023-11-19,70.78029815529815
2023-11-26,67.8041613041613
2023-12-03,75.82679107679108
2023-12-10,76.6031746031746
2023-12-17,76.34438009438009
2023-12-24,81.00268125268124
2023-12-31,81.1320785070785
